time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-20T00:38:35.000Z,19.248333,-155.3959961,32.56,2.47,ml,53,107,0.01087,0.14,hv,hv70960336,2019-05-20T01:08:03.040Z,"10km ENE of Pahala, Hawaii",earthquake,0.44,0.63,3.8,20,automatic,hv,hv
2019-05-20T00:30:11.351Z,36.3334,71.0381,114.5,4.4,mwr,,78,1.294,0.76,us,us70003ndc,2019-05-20T00:58:30.040Z,"41km NE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,3.7,6.7,0.078,16,reviewed,us,us
2019-05-20T00:17:42.540Z,35.0083333,-118.3671667,7.7,2.91,ml,73,26,0.02748,0.17,ci,ci38599720,2019-05-20T20:16:33.360Z,"16km SSE of Tehachapi, CA",earthquake,0.13,0.39,0.197,159,reviewed,ci,ci
2019-05-19T23:48:24.750Z,18.0566,-68.5498,77,2.47,md,5,222,1.441,0.53,pr,pr2019139007,2019-05-20T05:23:28.040Z,"59km S of Boca de Yuma, Dominican Republic",earthquake,6.99,9.81,0.29,5,reviewed,pr,pr
2019-05-19T18:51:05.820Z,-19.4627,-177.2867,388.89,4.7,mb,,84,4.738,1.14,us,us70003nar,2019-05-19T20:23:25.040Z,"197km NE of Ndoi Island, Fiji",earthquake,12.4,6.9,0.055,99,reviewed,us,us
2019-05-19T17:57:19.446Z,14.8402,-93.5009,43.54,4.3,mb,,182,1.775,1.39,us,us70003nag,2019-05-20T20:13:03.743Z,"92km SW of Mapastepec, Mexico",earthquake,8.7,13.2,0.071,56,reviewed,us,us
2019-05-19T16:35:31.286Z,2.3974,-84.1952,10,4.6,mb,,96,5.494,0.85,us,us70003n9w,2019-05-19T17:01:56.040Z,"Off the coast of Central America",earthquake,7.8,1.9,0.107,26,reviewed,us,us
2019-05-19T16:23:41.110Z,44.9975,-123.841333333333,44.02,3.57,ml,33,135,,0.21,uw,uw61523381,2019-05-21T02:31:55.969Z,"4km ESE of Rose Lodge, Oregon",earthquake,0.39,0.63,0.157601188336654,16,reviewed,uw,uw
2019-05-19T15:47:54.313Z,54.9873,165.8921,10,4.9,mb,,98,4.703,0.68,us,us70003n9m,2019-05-19T16:17:28.040Z,"23km SSW of Nikol'skoye, Russia",earthquake,9.4,1.9,0.028,410,reviewed,us,us
2019-05-19T15:43:56.813Z,-23.9164,-67.9408,131.94,4.2,mb,,132,0.984,0.39,us,us70003n9l,2019-05-20T11:43:21.252Z,"114km SSE of San Pedro de Atacama, Chile",earthquake,8.6,10.1,0.371,2,reviewed,us,us
2019-05-19T15:08:19.283Z,-24.2951,-67.096,180.42,4.6,mb,,59,1.665,0.72,us,us70003n99,2019-05-19T16:01:02.040Z,"79km W of San Antonio de los Cobres, Argentina",earthquake,9.2,10.1,0.082,44,reviewed,us,us
2019-05-19T15:06:17.476Z,-21.6002,169.6868,10,4.9,mb,,93,2.309,1.11,us,us70003n9b,2019-05-19T16:19:41.040Z,"186km E of Tadine, New Caledonia",earthquake,12.2,1.9,0.095,35,reviewed,us,us
2019-05-19T14:56:50.705Z,-21.5843,169.4581,20,6.2,mww,,74,2.127,1.01,us,us70003n96,2019-05-20T14:59:35.138Z,"163km E of Tadine, New Caledonia",earthquake,8.4,1.9,0.052,36,reviewed,us,us
2019-05-19T14:50:11.162Z,32.6227,132.3153,35,4.5,mb,,124,1.31,0.92,us,us70003n95,2019-05-20T11:52:22.947Z,"52km SW of Sukumo, Japan",earthquake,7,2,0.163,11,reviewed,us,us
2019-05-19T14:27:10.909Z,-21.7298,169.564,10,5.9,mww,,53,2.15,1.1,us,us70003n8z,2019-05-20T14:29:09.445Z,"175km E of Tadine, New Caledonia",earthquake,4.9,1.9,0.073,18,reviewed,us,us
2019-05-19T11:48:33.604Z,-60.4402,-26.7865,10,5.1,mb,,69,8.092,0.52,us,us70003n8j,2019-05-19T12:03:30.040Z,"157km S of Bristol Island, South Sandwich Islands",earthquake,10.6,1.9,0.083,47,reviewed,us,us
2019-05-19T11:12:48.090Z,19.5705,-64.7416,101,2.76,md,3,345,1.8073,0.26,pr,pr2019139005,2019-05-19T16:07:31.733Z,"128km N of Road Town, British Virgin Islands",earthquake,8.189,18.28,0.1,3,reviewed,pr,pr
2019-05-19T10:49:11.830Z,36.538,-120.3351667,7.15,3.1,ml,39,124,0.03665,0.18,nc,nc73183846,2019-05-21T06:25:57.301Z,"4km NNW of Cantua Creek, CA",earthquake,0.37,0.3,0.193,39,reviewed,nc,nc
2019-05-19T10:43:19.111Z,36.9958,-104.9464,7.67,3.8,mwr,,64,0.171,0.49,us,us70003n7x,2019-05-20T10:44:48.321Z,"44km WSW of Trinidad, Colorado",earthquake,1.7,6.6,0.065,23,reviewed,us,us
2019-05-19T10:23:49.508Z,-1.6607,137.0646,33.35,4.4,mb,,65,4.971,1.33,us,us70003n7v,2019-05-19T13:13:16.040Z,"257km NE of Nabire, Indonesia",earthquake,7.1,6,0.107,25,reviewed,us,us
2019-05-19T10:09:23.459Z,56.0599,-149.6574,10,3.8,mb,,165,2.319,0.75,us,us70003n7t,2019-05-19T13:26:49.040Z,"255km SE of Kodiak, Alaska",earthquake,8.5,2,0.294,3,reviewed,us,us
2019-05-19T10:01:37.906Z,56.3903,-157.2068,49.6,2.7,ml,,,,0.64,ak,ak0196e1nvbt,2019-05-19T10:06:39.559Z,"97km E of Chignik Lake, Alaska",earthquake,,2.1,,,automatic,ak,ak
2019-05-19T09:51:51.630Z,50.5744,-1.8646,10,3,ml,,212,3.713,1.31,us,us70003n8n,2019-05-20T21:34:00.216Z,"7km ESE of Swanage, United Kingdom",earthquake,11.7,2,0.148,6,reviewed,us,us
2019-05-19T09:09:13.050Z,18.8668,-67.312,6,2.68,md,9,212,0.447,0.53,pr,pr2019139003,2019-05-19T12:54:48.810Z,"47km NNW of San Antonio, Puerto Rico",earthquake,2.39,3.4,0.15,9,reviewed,pr,pr
2019-05-19T08:47:02.029Z,-9.7662,119.0351,10,4.4,mb,,82,3.355,0.59,us,us70003n73,2019-05-19T09:13:31.040Z,"10km S of Panenggoede, Indonesia",earthquake,7.7,1.9,0.127,18,reviewed,us,us
2019-05-19T08:16:54.370Z,56.1019,-149.6582,11.7,2.6,ml,,,,0.82,ak,ak0196e0kef3,2019-05-19T17:38:55.596Z,"251km SE of Kodiak, Alaska",earthquake,,9.8,,,reviewed,ak,ak
2019-05-19T08:06:19.542Z,51.8571,-169.3228,30.2,2.6,ml,,,,0.55,ak,ak0196e0i231,2019-05-19T17:28:01.028Z,"124km SSW of Nikolski, Alaska",earthquake,,3,,,reviewed,ak,ak
2019-05-19T07:01:54.147Z,61.3201,-149.9992,34.3,4.1,ml,,,,0.97,ak,ak0196dzvlpi,2019-05-21T03:25:19.435Z,"12km NNW of Anchorage, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-05-19T06:16:07.041Z,-10.329,119.2106,12.77,5.1,mb,,84,3.427,0.94,us,us70003n65,2019-05-19T06:36:30.040Z,"65km S of Bogorawatu, Indonesia",earthquake,7.5,4.6,0.07,65,reviewed,us,us
2019-05-19T06:12:20.461Z,-23.9063,-66.8217,197.42,4.5,mb,,85,1.567,0.91,us,us70003n64,2019-05-19T07:38:24.040Z,"61km NW of San Antonio de los Cobres, Argentina",earthquake,8.8,8.4,0.055,97,reviewed,us,us
2019-05-19T06:02:22.060Z,18.13,-68.1123,83,3,md,7,332,1.0103,0.2,pr,pr2019139001,2019-05-19T10:58:48.040Z,"57km ESE of Boca de Yuma, Dominican Republic",earthquake,2.39,2.79,0.26,6,reviewed,pr,pr
2019-05-19T05:36:31.155Z,60.4964,-141.5307,13.1,2.6,ml,,,,0.76,ak,ak0196dyw6tk,2019-05-19T06:35:57.946Z,"60km NE of Cape Yakataga, Alaska",earthquake,,0.2,,,reviewed,ak,ak
